pixel,fps,pv,ra,stream,device
300,18,1.0,0.94,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,1.0,0.89,1,Xavier
300,18,1.0,0.89,1,Xavier
300,18,1.0,0.83,1,Xavier
300,18,1.0,0.89,1,Xavier
300,18,0.94,0.83,1,Xavier
300,18,1.0,0.83,1,Xavier
300,18,1.0,0.83,1,Xavier
300,18,0.94,0.83,1,Xavier
300,18,1.0,0.83,1,Xavier
300,18,0.89,0.89,1,Xavier
300,18,1.0,0.83,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,0.94,0.94,1,Xavier
300,18,1.0,0.83,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,0.94,0.89,1,Xavier
300,18,1.0,0.83,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,0.94,0.94,1,Xavier
300,18,1.0,0.89,1,Xavier
300,18,1.0,0.83,1,Xavier
300,18,1.0,0.83,1,Xavier
300,18,0.89,0.83,1,Xavier
300,18,1.0,0.83,1,Xavier
300,18,1.0,0.89,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,0.94,0.94,1,Xavier
300,18,1.0,0.83,1,Xavier
300,18,0.94,0.83,1,Xavier
300,18,1.0,0.83,1,Xavier
300,18,1.0,0.83,1,Xavier
300,18,1.0,0.89,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,0.94,0.94,1,Xavier
300,18,1.0,0.83,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,0.94,0.94,1,Xavier
300,18,1.0,0.89,1,Xavier
300,18,0.94,0.94,1,Xavier
300,18,0.89,0.83,1,Xavier
300,18,1.0,0.89,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,0.94,0.94,1,Xavier
300,18,1.0,0.83,1,Xavier
300,18,1.0,0.83,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,0.94,0.94,1,Xavier
300,18,1.0,0.83,1,Xavier
300,18,0.94,0.83,1,Xavier
300,18,1.0,0.83,1,Xavier
300,18,1.0,0.89,1,Xavier
300,18,1.0,0.89,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,1.0,0.89,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,1.0,0.94,1,Xavier
300,18,0.89,0.89,1,Xavier
300,18,1.0,0.83,1,Xavier
300,18,1.0,0.83,1,Xavier
300,18,1.0,0.89,1,Xavier
