pixel,fps,pv,ra,stream,device,GPU
420,30,1.0,0.93,1,Laptop,0
420,14,0.93,0.71,1,Nano,0
360,26,1.0,0.85,1,Xavier,1
420,30,1.0,0.97,1,Laptop,0
420,14,0.79,0.64,1,Nano,0
420,14,1.0,0.64,1,Nano,0
360,26,1.0,0.97,1,Xavier,1
420,14,1.0,0.71,1,Nano,0
360,26,1.0,0.91,1,Xavier,1
420,14,1.0,0.64,1,Nano,0
360,26,1.0,0.91,1,Xavier,1
420,14,1.0,0.71,1,Nano,0
420,14,1.0,0.71,1,Nano,0
360,26,1.0,0.91,1,Xavier,1
420,14,1.0,0.71,1,Nano,0
420,30,1.0,0.91,1,Laptop,0
420,14,1.0,0.79,1,Nano,0
360,18,1.0,0.94,1,Xavier,1
420,30,1.0,0.93,1,Laptop,0
420,14,0.93,0.79,1,Nano,0
360,26,1.0,0.92,1,Xavier,1
420,14,1.0,0.71,1,Nano,0
360,26,1.0,0.91,1,Xavier,1
420,14,1.0,0.71,1,Nano,0
420,14,0.79,0.79,1,Nano,0
420,14,1.0,0.79,1,Nano,0
360,26,1.0,0.91,1,Xavier,1
420,14,0.79,0.79,1,Nano,0
360,26,1.0,0.91,1,Xavier,1
420,30,1.0,0.94,1,Laptop,0
420,14,1.0,0.71,1,Nano,0
420,30,1.0,0.93,1,Laptop,0
360,26,1.0,0.97,1,Xavier,1
420,14,0.93,0.64,1,Nano,0
420,30,1.0,0.93,1,Laptop,0
420,30,1.0,0.97,1,Laptop,0
360,26,1.0,0.85,1,Xavier,1
420,14,1.0,0.79,1,Nano,0
420,30,1.0,0.97,1,Laptop,0
420,14,1.0,0.79,1,Nano,0
360,26,1.0,0.85,1,Xavier,1
420,30,1.0,0.93,1,Laptop,0
420,14,1.0,0.79,1,Nano,0
420,30,1.0,0.93,1,Laptop,0
360,26,1.0,0.85,1,Xavier,1
420,30,1.0,0.93,1,Laptop,0
420,14,1.0,0.71,1,Nano,0
420,30,1.0,0.93,1,Laptop,0
360,26,1.0,0.91,1,Xavier,1
420,14,0.79,0.64,1,Nano,0
420,30,1.0,0.93,1,Laptop,0
420,14,1.0,0.79,1,Nano,0
360,26,1.0,0.85,1,Xavier,1
420,30,1.0,0.94,4,Laptop,0
420,14,1.0,0.79,1,Nano,0
420,30,1.0,0.93,1,Laptop,0
360,26,1.0,0.97,1,Xavier,1
420,30,1.0,0.97,1,Laptop,0
420,14,1.0,0.71,1,Nano,0
420,30,1.0,0.97,1,Laptop,0
360,26,1.0,0.85,1,Xavier,1
420,14,0.79,0.79,1,Nano,0
420,30,1.0,0.97,1,Laptop,0
420,30,1.0,0.97,1,Laptop,0
420,14,1.0,0.71,1,Nano,0
420,30,1.0,0.97,1,Laptop,0
420,30,1.0,0.97,1,Laptop,0
420,14,0.79,0.71,1,Nano,0
420,30,1.0,0.97,1,Laptop,0
420,14,1.0,0.71,1,Nano,0
420,30,1.0,0.97,1,Laptop,0
420,14,0.79,0.79,1,Nano,0
420,30,1.0,0.97,1,Laptop,0
300,22,1.0,0.86,1,Xavier,1
420,30,1.0,0.94,4,Laptop,0
420,14,1.0,0.64,1,Nano,0
300,22,1.0,0.97,1,Xavier,1
420,30,1.0,0.97,1,Laptop,0
420,14,1.0,0.71,1,Nano,0
420,30,1.0,0.97,1,Laptop,0
300,22,1.0,0.91,1,Xavier,1
420,14,0.93,0.79,1,Nano,0
420,30,1.0,0.94,4,Laptop,0
300,22,0.95,0.95,1,Xavier,1
420,30,1.0,0.94,4,Laptop,0
420,14,1.0,0.64,1,Nano,0
420,30,1.0,0.94,4,Laptop,0
300,22,1.0,0.86,1,Xavier,1
420,14,1.0,0.71,1,Nano,0
420,30,1.0,0.94,4,Laptop,0
420,14,1.0,0.86,1,Nano,0
300,22,1.0,0.86,1,Xavier,1
420,30,1.0,0.97,1,Laptop,0
420,30,1.0,0.97,1,Laptop,0
420,14,1.0,0.79,1,Nano,0
300,22,0.95,0.86,1,Xavier,1
420,30,1.0,0.97,1,Laptop,0
420,14,1.0,0.86,1,Nano,0
420,30,1.0,0.97,1,Laptop,0
300,22,1.0,0.91,1,Xavier,1
420,14,1.0,0.79,1,Nano,0
420,30,1.0,0.97,1,Laptop,0
420,14,1.0,0.79,1,Nano,0
300,22,1.0,0.86,1,Xavier,1
420,30,1.0,0.97,1,Laptop,0
420,14,1.0,0.79,1,Nano,0
420,30,1.0,0.93,1,Laptop,0
300,22,1.0,0.91,1,Xavier,1
420,14,0.93,0.71,1,Nano,0
420,30,1.0,0.94,4,Laptop,0
420,14,1.0,0.64,1,Nano,0
300,22,1.0,0.91,1,Xavier,1
420,30,1.0,0.94,4,Laptop,0
420,14,1.0,0.64,1,Nano,0
360,26,1.0,0.85,1,Xavier,1
420,14,0.93,0.64,1,Nano,0
360,26,1.0,0.97,1,Xavier,1
420,14,1.0,0.71,1,Nano,0
420,30,1.0,0.91,1,Laptop,0
420,14,1.0,0.64,1,Nano,0
300,22,0.95,0.97,1,Xavier,1
420,14,0.93,0.71,1,Nano,0
300,22,1.0,0.91,1,Xavier,1
420,14,1.0,0.57,1,Nano,0
300,22,1.0,0.86,1,Xavier,1
420,14,1.0,0.79,1,Nano,0
300,22,1.0,0.97,1,Xavier,1
420,14,1.0,0.79,1,Nano,0
420,14,1.0,0.79,1,Nano,0
300,22,1.0,0.95,1,Xavier,1
420,14,0.79,0.71,1,Nano,0
300,22,1.0,0.86,1,Xavier,1
420,30,1.0,0.94,1,Laptop,0
420,30,1.0,0.93,1,Laptop,0
420,14,0.93,0.71,1,Nano,0
300,22,1.0,0.97,1,Xavier,1
420,30,1.0,0.97,1,Laptop,0
420,14,0.93,0.71,1,Nano,0
300,22,1.0,0.91,1,Xavier,1
420,30,1.0,0.97,1,Laptop,0
420,14,1.0,0.71,1,Nano,0
420,30,1.0,0.93,1,Laptop,0
300,22,1.0,0.86,1,Xavier,1
420,30,1.0,1.0,1,Laptop,0
420,14,1.0,0.71,1,Nano,0
300,22,0.95,0.91,1,Xavier,1
420,30,1.0,0.97,1,Laptop,0
420,14,1.0,0.71,1,Nano,0
420,30,1.0,0.94,4,Laptop,0
300,22,1.0,0.91,1,Xavier,1
420,14,1.0,0.79,1,Nano,0
420,30,1.0,0.94,1,Laptop,0
420,14,0.79,0.71,1,Nano,0
420,30,1.0,0.91,1,Laptop,0
360,26,1.0,0.97,1,Xavier,1
420,30,1.0,0.94,1,Laptop,0
420,14,0.79,0.64,1,Nano,0
420,30,1.0,0.94,1,Laptop,0
420,14,1.0,0.64,1,Nano,0
360,26,1.0,0.85,1,Xavier,1
420,30,1.0,0.91,1,Laptop,0
300,22,0.95,0.91,1,Xavier,1
420,14,1.0,0.79,1,Nano,0
420,30,1.0,0.94,4,Laptop,0
420,14,1.0,0.71,1,Nano,0
300,22,0.95,0.91,1,Xavier,1
420,30,1.0,0.94,4,Laptop,0
420,14,1.0,0.79,1,Nano,0
420,30,1.0,0.97,1,Laptop,0
420,30,1.0,0.97,1,Laptop,0
420,14,1.0,0.79,1,Nano,0
420,30,1.0,0.93,1,Laptop,0
360,26,1.0,0.97,1,Xavier,1
420,14,1.0,0.79,1,Nano,0
420,30,1.0,0.97,1,Laptop,0
360,26,1.0,0.85,1,Xavier,1
420,14,1.0,0.64,1,Nano,0
420,30,1.0,0.91,1,Laptop,0
420,30,1.0,0.93,1,Laptop,0
420,14,1.0,0.71,1,Nano,0
360,26,1.0,0.85,1,Xavier,1
420,30,1.0,0.93,1,Laptop,0
420,14,0.79,0.71,1,Nano,0
420,30,1.0,0.97,1,Laptop,0
420,14,1.0,0.71,1,Nano,0
300,22,1.0,0.97,1,Xavier,1
420,30,1.0,0.93,1,Laptop,0
420,14,1.0,0.79,1,Nano,0
420,30,1.0,0.94,1,Laptop,0
300,22,0.95,0.86,1,Xavier,1
420,14,0.79,0.71,1,Nano,0
420,30,1.0,0.94,4,Laptop,0
300,22,1.0,0.91,1,Xavier,1
420,30,1.0,0.91,1,Laptop,0
420,14,1.0,0.64,1,Nano,0
300,22,0.95,0.91,1,Xavier,1
420,30,1.0,0.94,1,Laptop,0
420,14,1.0,0.64,1,Nano,0
420,30,1.0,0.94,4,Laptop,0
420,14,1.0,0.89,1,Nano,0
420,30,1.0,0.97,1,Laptop,0
420,30,1.0,0.93,1,Laptop,0
420,14,1.0,0.89,1,Nano,0
420,30,1.0,0.93,1,Laptop,0
420,14,1.0,0.89,1,Nano,0
420,30,1.0,0.93,1,Laptop,0
420,14,1.0,0.89,1,Nano,0
420,30,1.0,0.93,1,Laptop,0
420,14,1.0,0.89,1,Nano,0
420,30,1.0,0.93,1,Laptop,0
420,30,1.0,0.97,1,Laptop,0
420,14,1.0,0.89,1,Nano,0
420,30,1.0,0.97,1,Laptop,0
420,14,0.79,0.89,1,Nano,0
420,30,1.0,0.93,1,Laptop,0
420,14,1.0,0.64,1,Nano,0
420,30,1.0,0.91,1,Laptop,0
420,14,1.0,0.71,1,Nano,0
420,30,1.0,0.91,1,Laptop,0
420,14,1.0,0.79,1,Nano,0
